TC	SC	Go-On	Kan-On	Eum	PY	MC	MCI	MCF	MCT	OC	Gloss
獻	献			헌사의헌	xiàn	sa	s-	-a	even	*s-ŋˁar	offer, present
多	多	た	た	다	duō	ta	t-	-a	even	*t-lˁaj {*[t-l]ˁaj}	many
它	它	た	た	사타	tā	tha	th-	-a	even	*l̥ˁaj	another
他	他	た	た	타타	tā	tha	th-	-a	even	*l̥ˁaj (E. dial *l̥ˁ- › th-)	another
左	左	さ	さ	좌	zuǒ	tsaH	ts-	-a	departing	*tsˁajʔ-s {*tsˁa[j]ʔ-s}	assist
佐	佐	さ	さ	좌	zuǒ	tsaH	ts-	-a	departing	*tsˁarʔ-s (dial. *-r › *-j)	aid, assist
左	左	さ	さ	좌	zuǒ	tsaX	ts-	-a	rising	*tsˁajʔ {*tsˁa[j]ʔ}	left (side)
左	左	さ	さ	좌	zuǒ	tsaX	ts-	-a	rising	*tsˁajʔ {*tsˁa[j]ʔ}	assist
磋	磋	さ	さ	차자	cuō	tsha	tsh-	-a	even	*tsʰˁaj {*[tsʰ]ˁaj}	file, polish (v.)
差	差	し	し	차치차채차채차치채	cuō	tsha	tsh-	-a	even	*tsʰˁaj {*[tsʰ]ˁaj}	rub, polish, file (v.)
瑳	瑳	さ	さ	차차	cuǒ	tshaX	tsh-	-a	rising	*tsʰˁarʔ	white and brilliant
呵	呵	か	か	가하아	hē	xa	x-	-a	even	*qʰˁaj	scold
訶	诃	か	か	가하	hē	xa	x-	-a	even	*qʰˁaj	shout, scold
鴉	鸦	え	あ	아	yā	ʔæ	ʔ-	-æ	even	*qˁra	raven, crow
啞	哑	え	あ	아액아	yǎ	ʔæX	ʔ-	-æ	rising	*ʔˁraʔ	mute
亞	亚	え	あ	아압	yà	ʔæH	ʔ-	-æ	departing	*ʔˁrak-s	secondary
耙	耙	べ	は	파	pá	bæ	b-	-æ	even	*bˁra {*[b]ˁra}	rake (n.)
秅	秅			차타투	chá	dræ	dr-	-æ	even	*dˁra {*[d]ˁra}	a certain number of sheaves of grain
槎	槎	じゃ	さ	차사	chá	dzræ	dzr-	-æ	even	*dzˁraj {*[dz]ˁraj}	cut trees
槎	槎	じゃ	さ	차사	chá	dzræX	dzr-	-æ	rising	*dzˁrajʔ {*[dz]ˁrajʔ}	to cut trees
乍	乍	じゃ,さく	さ,さく	사작작	zhà	dzræH	dzr-	-æ	departing	*dzˁrak-s {*[dz]ˁrak-s}	suddenly
蝦	虾	げ	か	하하	há	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	hae-mae frog
瑕	瑕			하하	xiá	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	flaw, blemish
騢	騢			하	xiá	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	horse of mixed red and white color
遐	遐	げ	か	하	xiá	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	distant
暇	暇	げ	か	가가	xià	hæH	h-	-æ	departing	*ɡˁra-s {*[ɡ]ˁra-s}	leisure
芐	芐			호하	xià	hæH	h-	-æ	departing	*ɡˁra-s {*[ɡ]ˁra()-s}	rush, sedge
夏	夏	げ	か	하하가	xià	hæH	h-	-æ	departing	*ɡˁraʔ {*[ɡ]ˁraʔ} ~ [g]ˁraʔ-s	summer
下	下	げ	か	하하	xià	hæH	h-	-æ	departing	*m-ɡˁraʔ-s	descend
廈	厦			하하	xià	hæX	h-	-æ	rising	*ɡˁraʔ {*[ɡ]ˁraʔ}	house, room
厦	厦	げ	か	하하	xià	hæX	h-	-æ	rising	*ɡˁraʔ {*[ɡ]ˁraʔ}	house, room
下	下	げ	か	하하	xià	hæX	h-	-æ	rising	*ɡˁraʔ	down
夏	夏	げ	か	하하가	xià	hæX	h-	-æ	rising	*ɢˁraʔ {*[ɢ]ˁraʔ}	great
嘉	嘉	け	か	가	jiā	kæ	k-	-æ	even	*kˁ‹r›aj	excellent
豭	豭			가	jiā	kæ	k-	-æ	even	*kˁra	boar
家	家	け	か	가고고	jiā	kæ	k-	-æ	even	*kˁra	household
加	加	け	か	가	jiā	kæ	k-	-æ	even	*kˁraj	add
假	假			가가가격하	jiǎ	kæX	k-	-æ	rising	*Cə.kˁraʔ	borrow; false
叚	叚			가하가하단	jiǎ	kæX	k-	-æ	rising	*kˁraʔ	borrow#borrow
斝	斝			가가	jiǎ	kæX	k-	-æ	rising	*kˁraʔ {*[k]ˁraʔ}	a kind of ritual vessel
假	假			가가가격하	jiǎ	kæX	k-	-æ	rising	*kˁraʔ	great
賈	贾	く	か	고가	jià	kæH	k-	-æ	departing	*C.qˁ‹r›aʔ-s	price
價	价	け	か	가	jià	kæH	k-	-æ	departing	*C.qˁ‹r›aʔ-s	price
稼	稼	け	か	가	jià	kæH	k-	-æ	departing	*kˁra-s	grain; sow (v.)
駕	驾	け	か	가	jià	kæH	k-	-æ	departing	*kˁraj-s	hitch horses to a chariot
嫁	嫁	け	か	가	jià	kæH	k-	-æ	departing	*s.kˁra-s	marry
瓜	瓜	け	か	과과	guā	kwæ	kw-	-æ	even	*kʷˁra	melon, gourd
麻	麻	め	ば	마	má	mæ	m-	-æ	even	*C.mˁraj	hemp
馬	马	め	ば	마	mǎ	mæX	m-	-æ	rising	*mˁraʔ	horse
罵	骂	め	ば	매매	mà	mæH	m-	-æ	departing	*C.mˁra-s	scold, revile
牙	牙	げ	が	아아	yá	ngæ	ng-	-æ	even	*m-ɢˁ‹r›a	tooth
芽	芽	げ	が	아	yá	ngæ	ng-	-æ	even	*m-ɢˁra {*m-[ɢ]ˁra}	shoot, sprout
庌	庌			아	yǎ	ngæX	ng-	-æ	rising	*N-qʰˁraʔ {*[N]-qʰˁraʔ}	covered galleries
雅	雅	が	が	아아아	yǎ	ngæX	ng-	-æ	rising	*N-ɢˁraʔ {*[N-ɢ]ˁraʔ}	kind of musical instrument
雅	雅	が	が	아아아	yǎ	ngæX	ng-	-æ	rising	*ŋˁraʔ {*N-ɢˁraʔ}	proper, refined
迓	迓			아	yà	ngæH	ng-	-æ	departing	*ŋˁrak-s {*[ŋ]ˁrak-s}	meet
拏	拏			나	ná	nræ	nr-	-æ	even	*nˁra	handle (v.)
挐	挐			나녀뇨	ná	nræ	nr-	-æ	even	*nˁra	handle (v.)
豝	豝	へ	は	파	bā	pæ	p-	-æ	even	*pˁra	sow, pig
巴	巴	へ	は	파파파	bā	pæ	p-	-æ	even	*pˁra	snake
巴	巴	へ	は	파파파	bā	pæ	p-	-æ	even	*pˁra	[place name]
把	把	へ	は	파파파파	bǎ	pæX	p-	-æ	rising	*pˁraʔ	grasp (v.)
霸	霸	へ	は	패파백패	bà	pæH	p-	-æ	departing	*pˁrak-s	have hegemony
沙	沙	しゃ	さ	사사사	shā	sræ	sr-	-æ	even	*sˁraj {*[s]ˁraj}	sand
詐	诈	しゃ	さ	사	zhà	tsræH	tsr-	-æ	departing	*tsˁrak-s {*[ts]ˁrak-s}	treacherous
差	差	し	し	차치차채차채차치채	chā	tsrhæ	tsrh-	-æ	even	*tsʰraj	distinction; to select
嚇	吓	きゃく	かく	하혁하	xià	xæH	x-	-æ	departing	*qʰˁ‹r›ak-s	frighten
襾	襾			아	yà	xæX	x-	-æ	rising	*qʰˁraʔ	cover
敗	败	へ	はい	패	bài	bæjH	b-	-æj	departing	*N-pˁrat-s {*N-pˁra[t]-s}	suffer defeat
犗	犗			개개	jiè	kæjH	k-	-æj	departing	*kˁrat-s	castrate
敗	败	へ	はい	패	bài	pæjH	p-	-æj	departing	*pˁrat-s {*pˁra[t]-s}	defeat (v.t.)
蠆	虿			채	chài	trhæjH	trh-	-æj	departing	*mə-r̥ˁat-s {*mə-r̥ˁa[t]-s}	scorpion
白	白	びゃく	はく	백파백자지	bái	bæk	b-	-æk	entering	*bˁrak	white
帛	帛	びゃく	はく	백	bó	bæk	b-	-æk	entering	*bˁrak {*[b]ˁrak}	silk
澤	泽	じゃく	たく	택석역탁역	zé	dræk	dr-	-æk	entering	*lˁrak	marsh; moisture
宅	宅	じゃく	たく	택댁탁탁	zhái	dræk	dr-	-æk	entering	*m-tˁ‹r›ak	residence
袼	袼			각락	gē	kæk	k-	-æk	entering	*C.q‹r›ak {*[C.q]ˁ‹r›ak}	armpit-seam of a coat
格	格	きゃく	かく	격각격락학	gé	kæk	k-	-æk	entering	*kˁrak	go to
客	客	きゃく	かく	객	kè	khæk	kh-	-æk	entering	*kʰˁrak	guest
貉	貉	がく	かく	학맥	mò	mæk	m-	-æk	entering	*mˁrak	a Northern tribe
陌	陌	みゃく	ばく	맥맥백	mò	mæk	m-	-æk	entering	*mˁrak {*[m]ˁrak}	path between fields
百	百	ひゃく	はく	백맥	bǎi	pæk	p-	-æk	entering	*pˁrak	hundred
伯	伯	ひゃく	はく	백맥패	bó	pæk	p-	-æk	entering	*pˁrak	father’s elder brother
迫	迫	ひゃく	はく	박박	pò	pæk	p-	-æk	entering	*Cə.pˁrak	near; press
拍	拍	ひゃく	はく	박박	pāi	phæk	ph-	-æk	entering	*mə-pʰˁrak	to strike
霸	霸	へ	は	패파백패	pò	phæk	ph-	-æk	entering	*pʰˁrak	new moon
魄	魄	ひゃく	はく	백박탁박	pò	phæk	ph-	-æk	entering	*pʰˁrak	bodily form
乇	乇	ちゃく	たく	탁척탁	zhé	træk	tr-	-æk	entering	*tˁrak	plant leaves
坼	坼			탁	chè	trhæk	trh-	-æk	entering	*Nə-qʰˁ‹r›ak	split (v.i.)
嚇	吓	きゃく	かく	하혁하	hè	xæk	x-	-æk	entering	*qʰˁ‹r›ak	frighten
赫	赫	きゃく	かく	혁혁하혁석	hè	xæk	x-	-æk	entering	*qʰˁrak	red, fiery
檻	槛	げん	かん	함함	jiàn	hæmX	h-	-æm	rising	*ɡˁramʔ {*[ɡ]ˁramʔ}	straight-jetted (water)
檻	槛	げん	かん	함함	jiàn	hæmX	h-	-æm	rising	*ɡˁramʔ {*[ɡ]ˁramʔ}	railing; cage
銜	衔	げん	かん	함	xián	hæm	h-	-æm	even	*Cə.ɡˁram {*Cə.[ɡ]ˁr[a]m}	a bit; hold in the mouth
監	监	けん	かん	감감감	jiān	kæm	k-	-æm	even	*kˁram {*[k]ˁram}	inspect
監	监	けん	かん	감감감	jiàn	kæmH	k-	-æm	departing	*kˁram-s	mirror
巖	巖			암	yán	ngæm	ng-	-æm	even	*ŋˁram {*[ŋ]ˁr[a]m} (‹ uvular?)	rocky, lofty
髟	髟	せん	さん	표삼	shān	sræm	sr-	-æm	even	*sˁram {*s[ˁ]ram}	long hair
晏	晏			안	yàn	ʔænH	ʔ-	-æn	departing	*ʔˁ‹r›an-s {*ʔˁ‹r›a[n]-s}	peace, rest
鴳	鴳				yàn	ʔænH	ʔ-	-æn	departing	*ʔˁ‹r›ar-s {*ʔˁ‹r›a[r]-s}	a kind of quail
反	反	ほん	はん	반반번판반번판	fǎn	bænX	b-	-æn	rising	*bˁranʔ {*[b]ˁranʔ}	dignified, grand
棧	栈	ぜん	さん	잔진잔	zhàn	dzrænH	dzr-	-æn	departing	*dzˁran-s {*[dz]ˁr[a][n]-s}	shed
棧	栈	ぜん	さん	잔진잔	zhàn	dzrænX	dzr-	-æn	rising	*dzˁranʔ {*[dz]ˁr[a][n]ʔ}	shed
姦	奸	けん	かん	간간	jiān	kæn	k-	-æn	even	*kˁran {*[k]ˁran}	wicked(ness)
澗	涧	けん	かん	간간	jiàn	kænH	k-	-æn	departing	*kˁran-s {*[k]ˁra[n]-s}	stream in a ravine
諫	谏	けん	かん	간	jiàn	kænH	k-	-æn	departing	*kˁranʔ-s ~ *kˁranʔ	admonish
蠻	蛮	めん	ばん	만	mán	mæn	m-	-æn	even	*mˁron {*mˁro[n]}	southern foreigner
慢	慢	めん	ばん	만만	màn	mænH	m-	-æn	departing	*mˁran-s {*mˁra[n]-s}	disrespectful
顏	颜	げん	がん	안안	yán	ngæn	ng-	-æn	even	*C.ŋˁrar	face, forehead
顏	颜	げん	がん	안안	yán	ngæn	ng-	-æn	even	*C.ŋˁrar	surname
雁	雁	げん	がん	안	yàn	ngænH	ng-	-æn	departing	*C.ŋˁrar-s {*C.[ŋ]ˁrar-s}	kind of wild goose
鴈	鴈	げん	がん	안	yàn	ngænH	ng-	-æn	departing	*ŋˁrar-s	wild goose
頒	颁	へん	はん	반분분	bān	pæn	p-	-æn	even	*pˁ‹r›ən {*pˁ‹r›ə[n]} (F!)	distribute
朌	朌			반분분	bān	pæn	p-	-æn	even	*pˁ‹r›ən {*pˁ‹r›ə[n]} V!	distribute
板	板	へん	はん	판판	bǎn	pænX	p-	-æn	rising	*C.pˁranʔ	plank, board
扳	扳			반	pān	pæn	p-	-æn	even	*pˁran	pull forward
彭	彭			팽팽방팽방	péng	bæng	b-	-æng	even	*C.bˁraŋ {*C.[b]ˁraŋ}	(place name)
𣥺	𣥺				chéng	dræng	dr-	-æng	even	*m-tˁ‹r›aŋ	serve as support for
桁	桁	ぎょう	こう	형항항	héng	hæng	h-	-æng	even	*ɡˁraŋ {*[ɡ]ˁraŋ}	wooden lid
衡	衡	ぎょう	こう	형횡	héng	hæng	h-	-æng	even	*ɡˁraŋ {*[ɡ]ˁraŋ}	beam of a steelyard
行	行	ぎょう	こう	행행항행항	xíng	hæng	h-	-æng	even	*Cə.ɡˁraŋ	walk (v.)
行	行	ぎょう	こう	행행항행항	xíng	hængH	h-	-æng	departing	*ɡˁraŋ-s {*[ɡ]ˁraŋ-s}	action
杏	杏	ぎょう	こう	행행	xìng	hængX	h-	-æng	rising	*C.ɡˁraŋʔ {*C.[ɡ]ˁraŋʔ}	apricot (tree)
荇	荇			행행	xìng	hængX	h-	-æng	rising	*ɡˁraŋʔ {*[ɡ]ˁraŋʔ}	Limnanthemum nymphoides
更	更	きょう	こう	갱경	gēng	kæng	k-	-æng	even	*kˁraŋ	change (v.)
庚	庚	きょう	こう	경경	gēng	kæng	k-	-æng	even	*kˁraŋ	7th heavenly stem
羹	羹	きょう	こう	갱랑	gēng	kæng	k-	-æng	even	*kˁraŋ	soup
梗	梗	きょう	こう	경경경	gěng	kængX	k-	-æng	rising	*kˁraŋʔ	suffering
更	更	きょう	こう	갱경	gèng	kængH	k-	-æng	departing	*kˁraŋ-s	still more
盲	盲	みょう	もう	맹망맹	máng	mæng	m-	-æng	even	*mˁ‹r›aŋ	blind
䖟	䖟			맹	méng	mæng	m-	-æng	even	*mˁraŋ	horsefly
孟	孟	みょう	ぼう	맹맹망	mèng	mængH	m-	-æng	departing	*mˁraŋ-s	eldest, great
孟	孟	みょう	ぼう	맹맹망	mèng	mængH	m-	-æng	departing	*mˁraŋ-s	(personal name)
榜	榜	ひょう	ほう	방방방병	bàng	pængH	p-	-æng	departing	*pˁraŋ-s	oar
祊	祊			팽팽	bēng	pæng	p-	-æng	even	*pˁraŋ	temple gate
烹	烹	ひょう	ほう	팽	pēng	phæng	ph-	-æng	even	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ}	boil (v.)
亨	亨	きょう,こう,ひょう	こう,きょう,ほう	형향팽	pēng	phæng	ph-	-æng	even	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ}	(loan for) to boil
生	生	しょう	せい	생	shēng	sræng	sr-	-æng	even	*N-sreŋ	fresh, raw
甥	甥	しょう	せい	생	shēng	sræng	sr-	-æng	even	*s.reŋ	SiSo or SiDa; DaHu
生	生	しょう	せい	생	shēng	sræng	sr-	-æng	even	*sreŋ	bear, be born; live
瞠	瞠	ちょう	とう	당청	chēng	trhæng	trh-	-æng	even	*tʰˁraŋ	look straight at, stare
亨	亨	きょう,こう,ひょう	こう,きょう,ほう	형향팽	hēng	xæng	x-	-æng	even	*qʰˁraŋ {*[qʰ]ˁraŋ}	penetrate
享	享	こう	きょう	향팽	xiǎng	xæng	x-	-æng	even	*qʰˁraŋ {*[qʰ]ˁraŋ} (W dial.)	penetrate
押	押	きょう	おう	압갑	yā	ʔæp	ʔ-	-æp	entering	*qˁrep	to seal, stamp
匣	匣	ぎょう	こう	갑	xiá	hæp	h-	-æp	entering	*ɡˁrap {*[ɡ]ˁr[a]p}	box
狎	狎	ぎょう	こう	압합	xiá	hæp	h-	-æp	entering	*ɡˁrap {*[ɡ]ˁr[a]p}	disrespectful
柙	柙			합갑	xiá	hæp	h-	-æp	entering	*ɡˁrap {*[ɡ]ˁr[a]p}	cage; box
梜	梜			협겹	jiā	kæp	k-	-æp	entering	*kˁ‹r›ep	chopsticks
甲	甲	きょう	こう	갑압	jiǎ	kæp	k-	-æp	entering	*kˁrap {*[k]ˁr[a]p}	1st heavenly stem; shell
轄	辖	かい	かい	할할	xiá	hæt	h-	-æt	entering	*ɡˁrat {*[ɡ]ˁrat}	wheel-axle cap with linch-pin
匏	匏			포	páo	bæw	b-	-æw	even	*bˁru {*(Cə.)[b]ˁru}	gourd
濯	濯	だく	たく	탁도	zhào	dræwH	dr-	-æw	departing	*lˁrewk-s	wash clothes
櫂	櫂	じょう	たく	도	zhào	dræwH	dr-	-æw	departing	*lˁrewk-s	oar
巢	巢	じょう	そう	소소	cháo	dzræw	dzr-	-æw	even	*dzˁraw {*[dz]ˁraw}	nest
效	效	ぎょう	こう	효	xiào	hæwH	h-	-æw	departing	*m-kˁraw-s {*m-[k]ˁraw-s}	imitate, follow
爻	爻			효효효	yáo	hæw	h-	-æw	even	*N-kˁraw	change; hexagram
爻	爻			효효효	yáo	hæw	h-	-æw	even	*N-kˁraw	change; hexagram
肴	肴	ぎょう	こう	효	yáo	hæw	h-	-æw	even	*ɡˁraw {*[ɡ]ˁraw}	food
交	交	きょう	こう	교	jiāo	kæw	k-	-æw	even	*kˁraw {*[k]ˁraw}	cross (v.)
郊	郊	きょう	こう	교교	jiāo	kæw	k-	-æw	even	*kˁraw {*[k]ˁraw}	suburb
教	教	きょう	こう	교교	jiāo	kæw	k-	-æw	even	*kˁraw {*[k]ˁraw}	teach
膠	胶	きょう	こう	교교교호	jiāo	kæw	k-	-æw	even	*kˁriw {*[k]ˁriw}	glue
絞	绞	きょう	こう	교효교효	jiǎo	kæwX	k-	-æw	rising	*k-rˁiwʔ {*k-rˁ[i]wʔ} (dial. › *krˁ[i]wʔ)	twist; strangle
膠	胶	きょう	こう	교교교호	jiǎo	kæwX	k-	-æw	rising	*kˁriwʔ {*[k]ˁriwʔ}	glue
攪	搅	きょう	こう	교교	jiǎo	kæwX	k-	-æw	rising	*kˁruʔ	disturb
鉸	铰			교교	jiǎo	kæwX	k-	-æw	rising	*mə-kˁrawʔ {*mə-[k]ˁr[a]wʔ}	shear; scissors
覺	觉	かく	かく	각교	jiào	kæwH	k-	-æw	departing	*kˁruk-s	awake (v.)
教	教	きょう	こう	교교	jiào	kæwH	k-	-æw	departing	*s.kˁraw-s	instruction
巧	巧	きょう	こう	교교	qiǎo	khæwX	kh-	-æw	rising	*kʰˁruʔ {*[kʰ]ˁruʔ}	artful
貓	猫	みょう	びょう	묘	māo	mæw	m-	-æw	even	*C.mˁraw	cat
茅	茅	みょう	ぼう	모매	máo	mæw	m-	-æw	even	*C.mˁru	kind of grass; 'thatch'
昴	昴	みょう	ぼう	묘묘	mǎo	mæwX	m-	-æw	rising	*mˁruʔ	Pleiades
卯	卯	みょう	ぼう	묘묘묘	mǎo	mæwX	m-	-æw	rising	*mˁruʔ	4th earthly branch
茆	茆	みょう	ぼう	묘모모	mǎo	mæwX	m-	-æw	rising	*mˁruʔ	Brasenia
貌	貌	みょう	ぼう	모막모막	mào	mæwH	m-	-æw	departing	*mˁrawk-s {*mˁraw()-s}	appearance, manner
鐃	铙	にょう	どう	뇨뇨	náo	nræw	nr-	-æw	even	*nˁrew {*[n]ˁrew}	a kind of bell
橈	桡	にょう	どう	뇨요요	náo	nræwH	nr-	-æw	departing	*nˁrew-s {*[n]ˁrew-s}	bent wood
撓	挠	にょう	どう	뇨뇨효호요	náo	nræwX	nr-	-æw	rising	*nˁ‹r›awʔ {*nˁ‹r›[a]wʔ}	disturb
包	包	ひょう	ほう	포포	bāo	pæw	p-	-æw	even	*pˁ‹r›u	wrap, bundle
胞	胞	ひょう	ほう	포포포포	bāo	pæw	p-	-æw	even	*pˁ‹r›u	womb
苞	苞	ひょう	ほう	포포포	bāo	pæw	p-	-æw	even	*pˁ‹r›u	reed mat for wrapping
稍	稍	しょう	そう	초소초	shào	sræwH	sr-	-æw	departing	*srew-s {*[s](ˁ)rew-s}	gradually
罩	罩	ちょう	とう	조탁조	zhào	træwH	tr-	-æw	departing	*tˁrawk-s {*tˁr[a]wk-s}	basket for covering
爪	爪	しょう	そう	조	zhǎo	tsræwX	tsr-	-æw	rising	*[ts]ˁruʔ	claw
抓	抓	しょう	そう	조	zhuā	tsræw	tsr-	-æw	even	*tsru {*[ts](ˁ)ru}	grasp
孝	孝	きょう	こう	효	xiào	xæwH	x-	-æw	departing	*qʰˁ‹r›u-s {*qʰˁ‹r›uʔ-s}	filial
鷽	鸴	がく	かく	학학	xué	ʔæwk	ʔ-	-æwk	entering	*qˁruk	a kind of bird
雹	雹	ぼく	はく	박	báo	bæwk	b-	-æwk	entering	*C.bˁruk {*C.[b]ˁruk}	hail
濁	浊	じょく	たく	탁	zhuó	dræwk	dr-	-æwk	entering	*N-tˁrok	muddy
擢	擢	だく	たく	탁	zhuó	dræwk	dr-	-æwk	entering	*lˁrewk	pull out, select
濯	濯	だく	たく	탁도	zhuó	dræwk	dr-	-æwk	entering	*lˁrewk	wash
鶴	鹤	がく	かく	학학	hè	hæwk	h-	-æwk	entering	*ɡˁrawk {*[ɡ]ˁrawk}	white (of birds)
翯	翯			학호학혹	hè	hæwk	h-	-æwk	entering	*ɡˁrawk {*[ɡ]ˁrawk}	white (of birds)
學	学	がく	かく	학교할	xué	hæwk	h-	-æwk	entering	*m-kˁruk	study; imitate
鷽	鸴	がく	かく	학학	xué	hæwk	h-	-æwk	entering	*m-qˁruk	spec. of bird
角	角	かく	かく	각곡록	jiǎo	kæwk	k-	-æwk	entering	*C.kˁrok	horn, corner
覺	觉	かく	かく	각교	jué	kæwk	k-	-æwk	entering	*kˁruk	awake
確	确	かく	かく	확각	què	khæwk	kh-	-æwk	entering	*kʰˁrawk {*[k]ʰˁrawk}	solid, firm
殼	壳	こく	かく	각각학	què	khæwk	kh-	-æwk	entering	*kʰˁrok {*[kʰ]ˁrok}	hollow shell, hollow
瞀	瞀			무막모목	mào	mæwk	m-	-æwk	entering	*mˁ‹r›uk	troubled eyesight
樂	乐	ぎょう,がく,らく	ごう,がく,らく	악락요악	yuè	ngæwk	ng-	-æwk	entering	*ŋˁrawk {*[ŋ]ˁrawk}	music
嶽	嶽			악악	yuè	ngæwk	ng-	-æwk	entering	*ŋˁrok {*[ŋ]ˁrok}	mountain, peak
岳	岳	がく	がく	악악	yuè	ngæwk	ng-	-æwk	entering	*ŋˁrok {*[ŋ]ˁrok}	mountain, peak
剝	剥	ほく	はく	박	bō	pæwk	p-	-æwk	entering	*pˁrok ~ *mə-pˁrok	cut, flay, peel
樸	朴	ほく	はく	박복보박복	pǔ	phæwk	ph-	-æwk	entering	*pʰˁrok	unworked wood
數	数	さく	さく	수수삭촉속수	shuò	sræwk	sr-	-æwk	entering	*s-rok	frequently
朔	朔	さく	さく	삭	shuò	sræwk	sr-	-æwk	entering	*s.ŋrak	1st day of month
卓	卓	たく	たく	탁	zhuō	træwk	tr-	-æwk	entering	*tˁrawk	high; splendid
桌	桌			탁	zhuō	træwk	tr-	-æwk	entering	*tˁrawk (no pre-Qin exx.)	table
斲	斲			착	zhuó	træwk	tr-	-æwk	entering	*Cə.tˁrok	chop, cleave
啄	啄	たく	たく	탁착탁주	zhuó	træwk	tr-	-æwk	entering	*mə-tˁ‹r›ok	to peck
捉	捉	そく	さく	착	zhuō	tsræwk	tsr-	-æwk	entering	*tsrok {*[ts](ˁ)rok}	grasp (v.)
蚌	蚌	ぼう	ほう	방	bàng	bæwngX	b-	-æwng	rising	*bˁroŋʔ {*[b]ˁroŋʔ}	oyster, mussel
蜯	蜯	ぼう	ほう	방	bàng	bæwngX	b-	-æwng	rising	*bˁroŋʔ {*[b]ˁroŋʔ}	oyster, mussel
龐	庞	ぼう	ほう	방롱방롱	páng	bæwng	b-	-æwng	even	*bˁroŋ {*[b]ˁroŋ}	huge
撞	撞	どう	とう	당	chuáng	dræwng	dr-	-æwng	even	*N-tˁ‹r›oŋ {*[N-t]ˁ‹r›oŋ}	strike
撞	撞	どう	とう	당	zhuàng	dræwngH	dr-	-æwng	departing	*N-tˁ‹r›oŋ-s	strike
降	降	こう	こう	항강	xiáng	hæwng	h-	-æwng	even	*m-kˁruŋ (? ‹ *-[u]m)	submit
巷	巷			항	xiàng	hæwngH	h-	-æwng	departing	*C.ɡˁroŋ-s	lane, street
