TC	SC	Eumhun	PY	MC	MCI	MCF	MCT	OC	Gloss
乍	乍	잠깐 사, 차라리 작, 일어날 작	zhà	dzræH	dzr-	-æ	departing	*dzˁrak-s {*[dz]ˁrak-s}	suddenly
蝦	虾	두꺼비 하, 새우 하	há	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	hae-mae frog
瑕	瑕	티 하, 허물 하	xiá	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	flaw, blemish
騢	騢	적부루마 하	xiá	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	horse of mixed red and white color
遐	遐	멀 하	xiá	hæ	h-	-æ	even	*ɡˁra {*[ɡ]ˁra}	distant
暇	暇	겨를 가, 틈 가	xià	hæH	h-	-æ	departing	*ɡˁra-s {*[ɡ]ˁra-s}	leisure
芐	芐	지황 호, 지황 하	xià	hæH	h-	-æ	departing	*ɡˁra-s {*[ɡ]ˁra()-s}	rush, sedge
夏	夏	여름 하, 중국 하, 개오동나무 가	xià	hæH	h-	-æ	departing	*ɡˁraʔ {*[ɡ]ˁraʔ} ~ [g]ˁraʔ-s	summer
下	下	아래 하, 내릴 하	xià	hæH	h-	-æ	departing	*m-ɡˁraʔ-s	descend
廈	厦	큰집 하, 문간방 하	xià	hæX	h-	-æ	rising	*ɡˁraʔ {*[ɡ]ˁraʔ}	house, room
厦	厦	큰집 하, 문간방 하	xià	hæX	h-	-æ	rising	*ɡˁraʔ {*[ɡ]ˁraʔ}	house, room
下	下	아래 하, 내릴 하	xià	hæX	h-	-æ	rising	*ɡˁraʔ	down
夏	夏	여름 하, 중국 하, 개오동나무 가	xià	hæX	h-	-æ	rising	*ɢˁraʔ {*[ɢ]ˁraʔ}	great
嘉	嘉	아름다울 가	jiā	kæ	k-	-æ	even	*kˁ‹r›aj	excellent
豭	豭	수퇘지 가	jiā	kæ	k-	-æ	even	*kˁra	boar
家	家	집 가, 마나님 고, 계집 고	jiā	kæ	k-	-æ	even	*kˁra	household
加	加	더할 가	jiā	kæ	k-	-æ	even	*kˁraj	add
假	假	거짓 가, 끝날 가, 바꿀 가, 이를 격, 멀 하	jiǎ	kæX	k-	-æ	rising	*Cə.kˁraʔ	borrow; false
叚	叚	빌 가, 성 하, 빌릴 가, 성씨 하, 층계 단	jiǎ	kæX	k-	-æ	rising	*kˁraʔ	borrow#borrow
斝	斝	옥잔 가, 술잔 가	jiǎ	kæX	k-	-æ	rising	*kˁraʔ {*[k]ˁraʔ}	a kind of ritual vessel
假	假	거짓 가, 끝날 가, 바꿀 가, 이를 격, 멀 하	jiǎ	kæX	k-	-æ	rising	*kˁraʔ	great
賈	贾	장사 고, 값 가	jià	kæH	k-	-æ	departing	*C.qˁ‹r›aʔ-s	price
價	价	값 가	jià	kæH	k-	-æ	departing	*C.qˁ‹r›aʔ-s	price
稼	稼	심을 가	jià	kæH	k-	-æ	departing	*kˁra-s	grain; sow (v.)
駕	驾	멍에 가	jià	kæH	k-	-æ	departing	*kˁraj-s	hitch horses to a chariot
嫁	嫁	시집갈 가	jià	kæH	k-	-æ	departing	*s.kˁra-s	marry
瓜	瓜	오이 과, 외 과	guā	kwæ	kw-	-æ	even	*kʷˁra	melon, gourd
麻	麻	삼 마	má	mæ	m-	-æ	even	*C.mˁraj	hemp
馬	马	말 마	mǎ	mæX	m-	-æ	rising	*mˁraʔ	horse
罵	骂	욕할 매, 꾸짖을 매	mà	mæH	m-	-æ	departing	*C.mˁra-s	scold, revile
牙	牙	어금니 아, 바퀴테 아	yá	ngæ	ng-	-æ	even	*m-ɢˁ‹r›a	tooth
芽	芽	싹 아	yá	ngæ	ng-	-æ	even	*m-ɢˁra {*m-[ɢ]ˁra}	shoot, sprout
庌	庌	집 아	yǎ	ngæX	ng-	-æ	rising	*N-qʰˁraʔ {*[N]-qʰˁraʔ}	covered galleries
雅	雅	바를 아, 떼까마귀 아, 맑을 아	yǎ	ngæX	ng-	-æ	rising	*N-ɢˁraʔ {*[N-ɢ]ˁraʔ}	kind of musical instrument
雅	雅	바를 아, 떼까마귀 아, 맑을 아	yǎ	ngæX	ng-	-æ	rising	*ŋˁraʔ {*N-ɢˁraʔ}	proper, refined
迓	迓	마중할 아	yà	ngæH	ng-	-æ	departing	*ŋˁrak-s {*[ŋ]ˁrak-s}	meet
拏	拏	붙잡을 나	ná	nræ	nr-	-æ	even	*nˁra	handle (v.)
挐	挐	붙잡을 나, 끌 녀, 노 뇨	ná	nræ	nr-	-æ	even	*nˁra	handle (v.)
豝	豝	암퇘지 파	bā	pæ	p-	-æ	even	*pˁra	sow, pig
巴	巴	땅 이름 파, 꼬리 파, 바랄 파	bā	pæ	p-	-æ	even	*pˁra	snake
巴	巴	땅 이름 파, 꼬리 파, 바랄 파	bā	pæ	p-	-æ	even	*pˁra	[place name]
把	把	잡을 파, 비파 파, 줌통 파, 긁을 파	bǎ	pæX	p-	-æ	rising	*pˁraʔ	grasp (v.)
霸	霸	으뜸 패, 으뜸 파, 처음 달빛 백, 두목 패	bà	pæH	p-	-æ	departing	*pˁrak-s	have hegemony
沙	沙	모래 사, 봉황 사, 목쉴 사	shā	sræ	sr-	-æ	even	*sˁraj {*[s]ˁraj}	sand
詐	诈	속일 사	zhà	tsræH	tsr-	-æ	departing	*tsˁrak-s {*[ts]ˁrak-s}	treacherous
差	差	어긋날 차, 층질 치, 부릴 차, 부릴 채, 나을 차, 나을 채, 다를 차, 차별 치, 버금 채	chā	tsrhæ	tsrh-	-æ	even	*tsʰraj	distinction; to select
嚇	吓	으를 하, 성낼 혁, 웃음소리 하	xià	xæH	x-	-æ	departing	*qʰˁ‹r›ak-s	frighten
襾	襾	덮을 아	yà	xæX	x-	-æ	rising	*qʰˁraʔ	cover
敗	败	패할 패	bài	bæjH	b-	-æj	departing	*N-pˁrat-s {*N-pˁra[t]-s}	suffer defeat
犗	犗	불깐 소 개, 불친소 개	jiè	kæjH	k-	-æj	departing	*kˁrat-s	castrate
敗	败	패할 패	bài	pæjH	p-	-æj	departing	*pˁrat-s {*pˁra[t]-s}	defeat (v.t.)
蠆	虿	전갈 채	chài	trhæjH	trh-	-æj	departing	*mə-r̥ˁat-s {*mə-r̥ˁa[t]-s}	scorpion
白	白	흰 백, 서방빛 파, 작위 백, 말할 자, 말할 지	bái	bæk	b-	-æk	entering	*bˁrak	white
帛	帛	비단 백	bó	bæk	b-	-æk	entering	*bˁrak {*[b]ˁrak}	silk
澤	泽	못 택, 풀 석, 전술 역, 별 이름 탁, 전국술 역	zé	dræk	dr-	-æk	entering	*lˁrak	marsh; moisture
宅	宅	집 택, 댁 댁, 터질 탁, 터질 탁	zhái	dræk	dr-	-æk	entering	*m-tˁ‹r›ak	residence
袼	袼	소매 각, 턱받기 락	gē	kæk	k-	-æk	entering	*C.q‹r›ak {*[C.q]ˁ‹r›ak}	armpit-seam of a coat
格	格	바로잡을 격, 가지 각, 격식 격, 마을 락, 별 이름 학	gé	kæk	k-	-æk	entering	*kˁrak	go to
客	客	손 객	kè	khæk	kh-	-æk	entering	*kʰˁrak	guest
貉	貉	담비 학, 오랑캐 맥	mò	mæk	m-	-æk	entering	*mˁrak	a Northern tribe
陌	陌	두둑 맥, 길 맥, 일백 백	mò	mæk	m-	-æk	entering	*mˁrak {*[m]ˁrak}	path between fields
百	百	일백 백, 힘쓸 맥	bǎi	pæk	p-	-æk	entering	*pˁrak	hundred
伯	伯	맏 백, 길 맥, 우두머리 패	bó	pæk	p-	-æk	entering	*pˁrak	father’s elder brother
迫	迫	다그칠 박, 핍박할 박	pò	pæk	p-	-æk	entering	*Cə.pˁrak	near; press
拍	拍	칠 박, 어깨뼈 박	pāi	phæk	ph-	-æk	entering	*mə-pʰˁrak	to strike
霸	霸	으뜸 패, 으뜸 파, 처음 달빛 백, 두목 패	pò	phæk	ph-	-æk	entering	*pʰˁrak	new moon
魄	魄	넋 백, 찌꺼기 박, 영락할 탁, 재강 박	pò	phæk	ph-	-æk	entering	*pʰˁrak	bodily form
乇	乇	잎 탁, 잎 척, 부탁할 탁	zhé	træk	tr-	-æk	entering	*tˁrak	plant leaves
坼	坼	터질 탁	chè	trhæk	trh-	-æk	entering	*Nə-qʰˁ‹r›ak	split (v.i.)
嚇	吓	으를 하, 성낼 혁, 웃음소리 하	hè	xæk	x-	-æk	entering	*qʰˁ‹r›ak	frighten
赫	赫	빛날 혁, 붉을 혁, 꾸짖을 하, 빛날 혁, 쏠 석	hè	xæk	x-	-æk	entering	*qʰˁrak	red, fiery
檻	槛	우리 함, 난간 함	jiàn	hæmX	h-	-æm	rising	*ɡˁramʔ {*[ɡ]ˁramʔ}	straight-jetted (water)
檻	槛	우리 함, 난간 함	jiàn	hæmX	h-	-æm	rising	*ɡˁramʔ {*[ɡ]ˁramʔ}	railing; cage
銜	衔	재갈 함	xián	hæm	h-	-æm	even	*Cə.ɡˁram {*Cə.[ɡ]ˁr[a]m}	a bit; hold in the mouth
監	监	볼 감, 살필 감, 헤아릴 감	jiān	kæm	k-	-æm	even	*kˁram {*[k]ˁram}	inspect
監	监	볼 감, 살필 감, 헤아릴 감	jiàn	kæmH	k-	-æm	departing	*kˁram-s	mirror
巖	巖	바위 암	yán	ngæm	ng-	-æm	even	*ŋˁram {*[ŋ]ˁr[a]m} (‹ uvular?)	rocky, lofty
髟	髟	머리털 늘어질 표, 처마 삼	shān	sræm	sr-	-æm	even	*sˁram {*s[ˁ]ram}	long hair
晏	晏	늦을 안	yàn	ʔænH	ʔ-	-æn	departing	*ʔˁ‹r›an-s {*ʔˁ‹r›a[n]-s}	peace, rest
鴳	鴳		yàn	ʔænH	ʔ-	-æn	departing	*ʔˁ‹r›ar-s {*ʔˁ‹r›a[r]-s}	a kind of quail
反	反	돌이킬 반, 반절 반, 뒤칠 번, 팔 판, 돌아올 반, 어려울 번, 삼갈 판	fǎn	bænX	b-	-æn	rising	*bˁranʔ {*[b]ˁranʔ}	dignified, grand
棧	栈	잔도 잔, 성할 진, 사다리 잔	zhàn	dzrænH	dzr-	-æn	departing	*dzˁran-s {*[dz]ˁr[a][n]-s}	shed
棧	栈	잔도 잔, 성할 진, 사다리 잔	zhàn	dzrænX	dzr-	-æn	rising	*dzˁranʔ {*[dz]ˁr[a][n]ʔ}	shed
姦	奸	간사할 간, 간음할 간	jiān	kæn	k-	-æn	even	*kˁran {*[k]ˁran}	wicked(ness)
澗	涧	산골물 간, 산골 물 간	jiàn	kænH	k-	-æn	departing	*kˁran-s {*[k]ˁra[n]-s}	stream in a ravine
諫	谏	간할 간	jiàn	kænH	k-	-æn	departing	*kˁranʔ-s ~ *kˁranʔ	admonish
蠻	蛮	오랑캐 만	mán	mæn	m-	-æn	even	*mˁron {*mˁro[n]}	southern foreigner
慢	慢	게으를 만, 거만할 만	màn	mænH	m-	-æn	departing	*mˁran-s {*mˁra[n]-s}	disrespectful
顏	颜	얼굴 안, 낯 안	yán	ngæn	ng-	-æn	even	*C.ŋˁrar	face, forehead
顏	颜	얼굴 안, 낯 안	yán	ngæn	ng-	-æn	even	*C.ŋˁrar	surname
雁	雁	기러기 안	yàn	ngænH	ng-	-æn	departing	*C.ŋˁrar-s {*C.[ŋ]ˁrar-s}	kind of wild goose
鴈	鴈	기러기 안	yàn	ngænH	ng-	-æn	departing	*ŋˁrar-s	wild goose
頒	颁	나눌 반, 머리클 분, 머리 클 분	bān	pæn	p-	-æn	even	*pˁ‹r›ən {*pˁ‹r›ə[n]} (F!)	distribute
朌	朌	나눌 반, 머리클 분, 머리 클 분	bān	pæn	p-	-æn	even	*pˁ‹r›ən {*pˁ‹r›ə[n]} V!	distribute
板	板	널빤지 판, 널 판	bǎn	pænX	p-	-æn	rising	*C.pˁranʔ	plank, board
扳	扳	끌어당길 반	pān	pæn	p-	-æn	even	*pˁran	pull forward
彭	彭	성 팽, 옆 팽, 옆 방, 성씨 팽, 곁 방	péng	bæng	b-	-æng	even	*C.bˁraŋ {*C.[b]ˁraŋ}	(place name)
𣥺	𣥺		chéng	dræng	dr-	-æng	even	*m-tˁ‹r›aŋ	serve as support for
桁	桁	도리 형, 차꼬 항, 횃대 항	héng	hæng	h-	-æng	even	*ɡˁraŋ {*[ɡ]ˁraŋ}	wooden lid
衡	衡	저울대 형, 가로 횡	héng	hæng	h-	-æng	even	*ɡˁraŋ {*[ɡ]ˁraŋ}	beam of a steelyard
行	行	갈 행, 행위 행, 줄 항, 다닐 행, 항렬 항	xíng	hæng	h-	-æng	even	*Cə.ɡˁraŋ	walk (v.)
行	行	갈 행, 행위 행, 줄 항, 다닐 행, 항렬 항	xíng	hængH	h-	-æng	departing	*ɡˁraŋ-s {*[ɡ]ˁraŋ-s}	action
杏	杏	살구나무 행, 살구 행	xìng	hængX	h-	-æng	rising	*C.ɡˁraŋʔ {*C.[ɡ]ˁraŋʔ}	apricot (tree)
荇	荇	마름 행, 노랑어리연꽃 행	xìng	hængX	h-	-æng	rising	*ɡˁraŋʔ {*[ɡ]ˁraŋʔ}	Limnanthemum nymphoides
更	更	다시 갱, 고칠 경	gēng	kæng	k-	-æng	even	*kˁraŋ	change (v.)
庚	庚	일곱째 천간 경, 별 경	gēng	kæng	k-	-æng	even	*kˁraŋ	7th heavenly stem
羹	羹	국 갱, 땅 이름 랑	gēng	kæng	k-	-æng	even	*kˁraŋ	soup
梗	梗	대개 경, 줄기 경, 막힐 경	gěng	kængX	k-	-æng	rising	*kˁraŋʔ	suffering
更	更	다시 갱, 고칠 경	gèng	kængH	k-	-æng	departing	*kˁraŋ-s	still more
盲	盲	소경 맹, 바라볼 망, 눈 멀 맹	máng	mæng	m-	-æng	even	*mˁ‹r›aŋ	blind
䖟	䖟	등에 맹	méng	mæng	m-	-æng	even	*mˁraŋ	horsefly
孟	孟	맏 맹, 맹랑할 맹, 맹랑할 망	mèng	mængH	m-	-æng	departing	*mˁraŋ-s	eldest, great
孟	孟	맏 맹, 맹랑할 맹, 맹랑할 망	mèng	mængH	m-	-æng	departing	*mˁraŋ-s	(personal name)
榜	榜	방 방, 도지개 방, 방 붙일 방, 도지개 병	bàng	pængH	p-	-æng	departing	*pˁraŋ-s	oar
祊	祊	제사 이름 팽, 제사 팽	bēng	pæng	p-	-æng	even	*pˁraŋ	temple gate
烹	烹	삶을 팽	pēng	phæng	ph-	-æng	even	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ}	boil (v.)
亨	亨	형통할 형, 드릴 향, 삶을 팽	pēng	phæng	ph-	-æng	even	*p.qʰˁraŋ {*[p.qʰ]ˁraŋ}	(loan for) to boil
生	生	날 생	shēng	sræng	sr-	-æng	even	*N-sreŋ	fresh, raw
甥	甥	생질 생	shēng	sræng	sr-	-æng	even	*s.reŋ	SiSo or SiDa; DaHu
生	生	날 생	shēng	sræng	sr-	-æng	even	*sreŋ	bear, be born; live
瞠	瞠	볼 당, 볼 청	chēng	trhæng	trh-	-æng	even	*tʰˁraŋ	look straight at, stare
亨	亨	형통할 형, 드릴 향, 삶을 팽	hēng	xæng	x-	-æng	even	*qʰˁraŋ {*[qʰ]ˁraŋ}	penetrate
享	享	누릴 향, 삶을 팽	xiǎng	xæng	x-	-æng	even	*qʰˁraŋ {*[qʰ]ˁraŋ} (W dial.)	penetrate
押	押	누를 압, 단속할 갑	yā	ʔæp	ʔ-	-æp	entering	*qˁrep	to seal, stamp
匣	匣	갑 갑	xiá	hæp	h-	-æp	entering	*ɡˁrap {*[ɡ]ˁr[a]p}	box
狎	狎	익숙할 압, 익숙할 합	xiá	hæp	h-	-æp	entering	*ɡˁrap {*[ɡ]ˁr[a]p}	disrespectful
柙	柙	우리 합, 향나무 갑	xiá	hæp	h-	-æp	entering	*ɡˁrap {*[ɡ]ˁr[a]p}	cage; box
梜	梜	젓가락 협, 젓가락 겹	jiā	kæp	k-	-æp	entering	*kˁ‹r›ep	chopsticks
甲	甲	갑옷 갑, 친압할 압	jiǎ	kæp	k-	-æp	entering	*kˁrap {*[k]ˁr[a]p}	1st heavenly stem; shell
轄	辖	비녀장 할, 다스릴 할	xiá	hæt	h-	-æt	entering	*ɡˁrat {*[ɡ]ˁrat}	wheel-axle cap with linch-pin
匏	匏	박 포	páo	bæw	b-	-æw	even	*bˁru {*(Cə.)[b]ˁru}	gourd
濯	濯	씻을 탁, 상앗대 도	zhào	dræwH	dr-	-æw	departing	*lˁrewk-s	wash clothes
櫂	櫂	노 도	zhào	dræwH	dr-	-æw	departing	*lˁrewk-s	oar
巢	巢	보금자리 소, 새집 소	cháo	dzræw	dzr-	-æw	even	*dzˁraw {*[dz]ˁraw}	nest
效	效	본받을 효	xiào	hæwH	h-	-æw	departing	*m-kˁraw-s {*m-[k]ˁraw-s}	imitate, follow
爻	爻	효 효, 사귈 효, 가로그을 효	yáo	hæw	h-	-æw	even	*N-kˁraw	change; hexagram
爻	爻	효 효, 사귈 효, 가로그을 효	yáo	hæw	h-	-æw	even	*N-kˁraw	change; hexagram
肴	肴	안주 효	yáo	hæw	h-	-æw	even	*ɡˁraw {*[ɡ]ˁraw}	food
交	交	사귈 교	jiāo	kæw	k-	-æw	even	*kˁraw {*[k]ˁraw}	cross (v.)
郊	郊	성 밖 교, 들 교	jiāo	kæw	k-	-æw	even	*kˁraw {*[k]ˁraw}	suburb
教	教	가르칠 교, 본받을 교	jiāo	kæw	k-	-æw	even	*kˁraw {*[k]ˁraw}	teach
膠	胶	갖풀 교, 화할 교, 아교 교, 어긋날 호	jiāo	kæw	k-	-æw	even	*kˁriw {*[k]ˁriw}	glue
絞	绞	목맬 교, 염습 효, 검누른 명주 교, 초록빛 효	jiǎo	kæwX	k-	-æw	rising	*k-rˁiwʔ {*k-rˁ[i]wʔ} (dial. › *krˁ[i]wʔ)	twist; strangle
膠	胶	갖풀 교, 화할 교, 아교 교, 어긋날 호	jiǎo	kæwX	k-	-æw	rising	*kˁriwʔ {*[k]ˁriwʔ}	glue
攪	搅	어지럽힐 교, 흔들 교	jiǎo	kæwX	k-	-æw	rising	*kˁruʔ	disturb
鉸	铰	가위 교, 장식 교	jiǎo	kæwX	k-	-æw	rising	*mə-kˁrawʔ {*mə-[k]ˁr[a]wʔ}	shear; scissors
覺	觉	깨달을 각, 깰 교	jiào	kæwH	k-	-æw	departing	*kˁruk-s	awake (v.)
教	教	가르칠 교, 본받을 교	jiào	kæwH	k-	-æw	departing	*s.kˁraw-s	instruction
巧	巧	공교할 교, 아름다울 교	qiǎo	khæwX	kh-	-æw	rising	*kʰˁruʔ {*[kʰ]ˁruʔ}	artful
貓	猫	고양이 묘	māo	mæw	m-	-æw	even	*C.mˁraw	cat
茅	茅	띠 모, 꼭두서니 매	máo	mæw	m-	-æw	even	*C.mˁru	kind of grass; 'thatch'
昴	昴	별자리 이름 묘, 별 이름 묘	mǎo	mæwX	m-	-æw	rising	*mˁruʔ	Pleiades
卯	卯	넷째지지 묘, 토끼 묘, 넷째 지지 묘	mǎo	mæwX	m-	-æw	rising	*mˁruʔ	4th earthly branch
茆	茆	순채 묘, 풀숲 모, 띠 모	mǎo	mæwX	m-	-æw	rising	*mˁruʔ	Brasenia
貌	貌	얼굴 모, 본뜰 막, 모양 모, 모사할 막	mào	mæwH	m-	-æw	departing	*mˁrawk-s {*mˁraw()-s}	appearance, manner
鐃	铙	징 뇨, 굽힐 뇨	náo	nræw	nr-	-æw	even	*nˁrew {*[n]ˁrew}	a kind of bell
橈	桡	굽을 뇨, 노 요, 굽을 요	náo	nræwH	nr-	-æw	departing	*nˁrew-s {*[n]ˁrew-s}	bent wood
撓	挠	휠 뇨, 꺾일 뇨, 돌 효, 부드럽게 할 호, 어지러울 요	náo	nræwX	nr-	-æw	rising	*nˁ‹r›awʔ {*nˁ‹r›[a]wʔ}	disturb
包	包	쌀 포, 꾸러미 포	bāo	pæw	p-	-æw	even	*pˁ‹r›u	wrap, bundle
胞	胞	태보 포, 숙수 포, 여드름 포, 세포 포	bāo	pæw	p-	-æw	even	*pˁ‹r›u	womb
苞	苞	그령 포, 쥐눈이콩 포, 쌀 포	bāo	pæw	p-	-æw	even	*pˁ‹r›u	reed mat for wrapping
稍	稍	벼줄기끝 초, 구실 소, 점점 초	shào	sræwH	sr-	-æw	departing	*srew-s {*[s](ˁ)rew-s}	gradually
罩	罩	가리 조, 가리 탁, 보쌈 조	zhào	træwH	tr-	-æw	departing	*tˁrawk-s {*tˁr[a]wk-s}	basket for covering
爪	爪	손톱 조	zhǎo	tsræwX	tsr-	-æw	rising	*[ts]ˁruʔ	claw
抓	抓	긁을 조	zhuā	tsræw	tsr-	-æw	even	*tsru {*[ts](ˁ)ru}	grasp
孝	孝	효도 효	xiào	xæwH	x-	-æw	departing	*qʰˁ‹r›u-s {*qʰˁ‹r›uʔ-s}	filial
鷽	鸴	메까치 학, 비둘기 학	xué	ʔæwk	ʔ-	-æwk	entering	*qˁruk	a kind of bird
雹	雹	우박 박	báo	bæwk	b-	-æwk	entering	*C.bˁruk {*C.[b]ˁruk}	hail
濁	浊	흐릴 탁	zhuó	dræwk	dr-	-æwk	entering	*N-tˁrok	muddy
擢	擢	뽑을 탁	zhuó	dræwk	dr-	-æwk	entering	*lˁrewk	pull out, select
濯	濯	씻을 탁, 상앗대 도	zhuó	dræwk	dr-	-æwk	entering	*lˁrewk	wash
鶴	鹤	학 학, 흴 학	hè	hæwk	h-	-æwk	entering	*ɡˁrawk {*[ɡ]ˁrawk}	white (of birds)
翯	翯	함치르르 할 학, 흰 깃 호, 함치르르할 학, 함치르르할 혹	hè	hæwk	h-	-æwk	entering	*ɡˁrawk {*[ɡ]ˁrawk}	white (of birds)
學	学	배울 학, 가르칠 교, 고지새 할	xué	hæwk	h-	-æwk	entering	*m-kˁruk	study; imitate
鷽	鸴	메까치 학, 비둘기 학	xué	hæwk	h-	-æwk	entering	*m-qˁruk	spec. of bird
